PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
12;80;7;17;12080007_17_M;2014;7;;N;;N;0.14;V;0.14;V;;N;;N;0.14;V;;N;0.0;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.14;V
12;80;7;17;12080007_17_M;2014;8;0.14;V;;N;0.14;V;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.0;V;;N;0.28;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;;N;;N;;N;;N;0.27;V;;N;;N;;N
12;80;7;17;12080007_17_M;2014;9;;N;;N;0.14;V;;N;;N;0.27;V;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;0.14;V;;N;0.0;V;;N;;N;0.14;V;0.14;V;;N;0.0;V;0.14;V;;N;0.0;N
12;80;7;17;12080007_17_M;2014;10;;N;0.14;V;;N;0.28;V;;N;0.27;V;;N;;N;0.14;V;;N;0.28;V;;N;;N;0.0;V;;N;0.14;V;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;0.14;V;;N;0.28;V;0.14;V;;N;0.28;V;;N;;N
12;80;7;17;12080007_17_M;2014;11;0.28;V;;N;0.14;V;;N;;N;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;0.0;V;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;V;;N;;N;;N;;N;0.0;N
12;80;7;17;12080007_17_M;2014;12;;N;;N;;N;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;0.0;V;;N;0.14;V;;N;0.0;V;;N;;N;0.0;V;0.0;V;;N;;N;;N;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;;N
12;84;3;17;12084003_17_M;2014;1;;N;;N;;N;0.28;V;;N;;N;0.42;V;;N;1.41;V;;N;0.7;V;;N;0.7;V;;N;1.26;V;;N;0.14;V;;N;0.14;V;;N;;N;0.42;V;;N;;N;;N;0.28;V;;N;;N;0.0;V;;N;0.28;V
12;84;3;17;12084003_17_M;2014;2;;N;;N;0.14;V;;N;0.14;V;;N;0.0;V;;N;0.43;V;;N;;N;0.42;V;;N;0.41;V;;N;0.14;V;0.42;V;;N;0.42;V;;N;;N;0.28;V;;N;0.42;V;;N;;N;0.14;V;;N;0.0;N;0.0;N;0.0;N
12;84;3;17;12084003_17_M;2014;3;0.28;V;;N;0.28;V;;N;;N;0.42;V;;N;;N;0.56;V;;N;;N;1.12;V;;N;;N;;N;0.83;V;0.83;V;0.7;V;;N;0.7;V;;N;1.11;V;;N;0.28;V;;N;;N;0.28;V;;N;0.84;V;;N;0.42;V
12;84;3;17;12084003_17_M;2014;4;;N;;N;0.55;V;;N;0.14;V;;N;1.11;V;;N;;N;3.06;V;1.39;V;0.69;V;;N;0.69;V;;N;1.25;V;;N;;N;0.41;V;;N;0.41;V;;N;;N;0.55;V;;N;0.41;V;;N;;N;0.42;V;;N;0.0;N
12;84;3;17;12084003_17_M;2014;5;0.42;V;;N;0.69;V;;N;0.42;V;;N;;N;1.03;V;4.21;V;;N;2.82;V;;N;;N;2.8;V;;N;;N;0.42;V;;N;0.83;V;;N;;N;0.14;V;;N;0.69;V;;N;;N;0.42;V;;N;1.25;V;;N;0.28;V
12;84;3;17;12084003_17_M;2014;6;;N;0.69;V;;N;;N;0.83;V;0.86;V;;N;;N;1.1;V;;N;0.55;V;;N;;N;0.41;V;;N;0.28;V;;N;;N;0.42;V;;N;0.41;V;;N;;N;0.28;V;;N;0.55;V;;N;0.41;V;;N;0.28;V;0.0;N
12;84;3;17;12084003_17_M;2014;7;;N;;N;1.52;V;;N;;N;;N;;N;;N;;N;;N;;N;0.41;V;;N;0.69;V;;N;;N;;N;;N;0.82;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.55;V
12;84;3;17;12084003_17_M;2014;8;0.55;V;;N;;N;;N;;N;0.28;V;;N;;N;0.69;V;;N;;N;;N;;N;0.28;V;;N;0.28;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.41;V;0.55;V;;N;2.46;V
12;84;3;17;12084003_17_M;2014;9;;N;;N;0.54;V;;N;;N;0.55;V;;N;0.41;V;;N;;N;0.54;V;;N;0.41;V;;N;;N;0.41;V;;N;0.27;V;;N;0.27;V;;N;0.41;V;;N;;N;0.41;V;0.28;V;;N;0.28;V;0.55;V;;N;0.0;N
12;84;3;17;12084003_17_M;2014;10;;N;0.41;V;;N;0.41;V;;N;0.69;V;;N;;N;0.82;V;;N;0.55;V;;N;;N;0.55;V;;N;1.51;V;;N;0.55;V;;N;0.69;V;;N;;N;0.55;V;0.27;V;;N;0.55;V;0.55;V;;N;0.55;V;;N;;N
12;84;3;17;12084003_17_M;2014;11;0.55;V;;N;0.41;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.84;V;;N;0.55;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.41;V;;N;;N;0.82;V;;N;0.0;N
12;84;3;17;12084003_17_M;2014;12;0.28;V;;N;;N;0.42;V;;N;0.14;V;;N;;N;0.42;V;;N;;N;;N;;N;;N;;N;;N;;N;0.84;V;0.56;V;;N;0.28;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;190;5;17;46190005_17_M;2014;1;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;;N;;N;0.28;V;;N;0.14;V;;N;0.14;V;;N;0.14;V;;N;0.14;V;0.0;V;;N;0.42;V;;N;;N;;N;;N;0.0;V;;N;0.0;V;;N;0.0;V
46;190;5;17;46190005_17_M;2014;2;;N;;N;0.0;V;;N;0.0;V;;N;0.14;V;;N;;N;;N;;N;0.14;V;;N;0.14;V;;N;0.14;V;0.28;V;;N;0.42;V;;N;;N;0.14;V;;N;0.28;V;;N;;N;0.14;V;;N;0.0;N;0.0;N;0.0;N
46;190;5;17;46190005_17_M;2014;3;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;;N;0.42;V;;N;;N;0.56;V;;N;;N;;N;0.42;V;0.42;V;0.69;V;;N;0.42;V;;N;0.28;V;;N;0.14;V;;N;;N;0.14;V;;N;0.28;V;;N;0.42;V
46;190;5;17;46190005_17_M;2014;4;;N;;N;0.14;V;;N;0.14;V;;N;0.28;V;;N;;N;0.42;V;0.55;V;0.55;V;;N;0.41;V;;N;0.69;V;;N;;N;0.27;V;;N;0.14;V;;N;;N;0.28;V;;N;0.14;V;;N;;N;0.14;V;;N;0.0;N
46;190;5;17;46190005_17_M;2014;5;;N;0.06;V;0.06;V;;N;0.19;V;;N;;N;0.19;V;;N;0.27;V;0.41;V;;N;;N;0.14;V;;N;;N;;N;0.14;V;0.27;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;0.14;V
46;190;5;17;46190005_17_M;2014;6;;N;0.28;V;;N;;N;0.14;V;0.27;V;;N;;N;0.41;V;;N;;N;0.68;V;;N;0.54;V;;N;0.27;V;;N;;N;;N;0.27;V;0.14;V;;N;;N;0.14;V;;N;0.41;V;;N;0.27;V;;N;0.14;V;0.0;N
46;190;5;17;46190005_17_M;2014;7;;N;;N;;N;0.14;V;;N;;N;0.28;V;;N;0.28;V;;N;;N;0.14;V;;N;0.14;V;0.28;V;;N;0.14;V;;N;0.42;V;;N;;N;;N;0.14;V;0.14;V;;N;0.28;V;;N;0.28;V;;N;;N;0.14;V
46;190;5;17;46190005_17_M;2014;8;0.28;V;;N;0.28;V;0.28;V;;N;0.28;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;0.28;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;0.14;V;;N;;N;0.14;V;0.28;V;;N;;N
46;190;5;17;46190005_17_M;2014;9;;N;;N;0.28;V;0.28;V;;N;0.28;V;;N;0.42;V;;N;;N;0.27;V;;N;0.28;V;;N;;N;0.28;V;;N;0.14;V;;N;0.28;V;;N;;N;;N;0.28;V;;N;0.42;V;;N;0.28;V;;N;;N;0.0;N
46;190;5;17;46190005_17_M;2014;10;;N;0.28;V;;N;0.42;V;;N;0.42;V;;N;;N;0.28;V;;N;;N;0.14;V;;N;0.14;V;;N;0.14;V;;N;0.42;V;;N;;N;;N;;N;0.28;V;;N;;N;;N;;N;;N;;N;;N;;N
46;190;5;17;46190005_17_M;2014;11;;N;;N;;N;;N;;N;0.0;V;;N;0.0;V;;N;;N;;N;;N;;N;0.14;V;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.14;V;;N;0.0;N
46;190;5;17;46190005_17_M;2014;12;;N;0.14;V;;N;0.28;V;;N;0.14;V;;N;;N;;N;0.14;V;0.14;V;;N;0.28;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.14;V;;N;0.14;V;;N;;N
46;220;9;17;46220009_17_M;2014;1;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;0.56;V;;N;0.56;V;;N;0.28;V;;N;0.7;V;;N;0.14;V;;N;0.14;V;0.0;V;;N;0.28;V;;N;;N;;N;0.14;V;;N;;N;0.0;V;;N;0.0;V
46;220;9;17;46220009_17_M;2014;2;;N;;N;0.0;V;;N;0.0;V;;N;0.0;V;;N;0.0;V;;N;;N;;N;;N;0.14;V;;N;0.42;V;0.28;V;;N;0.28;V;;N;;N;0.14;V;;N;0.28;V;;N;;N;0.14;V;;N;0.0;N;0.0;N;0.0;N
46;220;9;17;46220009_17_M;2014;3;0.14;V;;N;0.14;V;;N;;N;;N;;N;;N;;N;;N;;N;0.71;V;;N;;N;;N;0.42;V;0.56;V;0.42;V;;N;0.42;V;;N;0.56;V;;N;0.14;V;;N;;N;0.14;V;;N;0.28;V;;N;0.42;V
46;220;9;17;46220009_17_M;2014;4;;N;;N;0.14;V;;N;0.14;V;;N;0.56;V;;N;;N;0.7;V;0.84;V;0.56;V;;N;0.56;V;;N;0.84;V;;N;;N;0.28;V;;N;0.28;V;;N;;N;0.28;V;;N;0.14;V;;N;;N;0.19;V;;N;0.0;N
46;220;9;17;46220009_17_M;2014;5;;N;0.06;V;0.06;V;;N;0.2;V;;N;;N;0.47;V;;N;0.47;V;0.47;V;;N;;N;0.14;V;;N;;N;;N;0.28;V;0.28;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.28;V;;N;0.28;V
46;220;9;17;46220009_17_M;2014;6;;N;0.28;V;;N;;N;0.14;V;0.28;V;;N;;N;0.55;V;;N;;N;0.69;V;;N;0.55;V;;N;0.14;V;;N;;N;;N;0.28;V;0.14;V;;N;;N;0.14;V;;N;0.41;V;;N;0.27;V;;N;0.27;V;0.0;N
46;220;9;17;46220009_17_M;2014;7;;N;;N;0.28;V;;N;;N;;N;;N;;N;0.28;V;;N;;N;0.28;V;;N;;N;0.28;V;;N;0.28;V;;N;;N;;N;;N;;N;0.55;V;0.27;V;;N;0.27;V;;N;0.27;V;;N;;N;0.14;V
46;220;9;17;46220009_17_M;2014;8;0.41;V;;N;0.41;V;0.28;V;;N;;N;;N;;N;0.28;V;;N;0.27;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.14;V;0.27;V;;N;;N;;N;;N;;N;;N
46;220;9;17;46220009_17_M;2014;9;;N;;N;0.27;V;;N;;N;0.27;V;;N;0.27;V;;N;;N;0.41;V;;N;0.27;V;;N;;N;0.27;V;;N;0.14;V;;N;0.41;V;;N;0.41;V;;N;0.28;V;;N;0.28;V;;N;0.28;V;0.41;V;;N;0.0;N
46;220;9;17;46220009_17_M;2014;10;;N;0.28;V;;N;0.41;V;;N;0.41;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.27;V;;N;0.55;V;;N;;N;0.55;V;;N;0.14;V;0.41;V;;N;0.41;V;0.41;V;;N;0.55;V;;N;;N
46;220;9;17;46220009_17_M;2014;11;0.28;V;;N;0.28;V;;N;;N;0.0;V;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
46;220;9;17;46220009_17_M;2014;12;;N;0.14;V;;N;0.28;V;;N;0.0;V;;N;;N;;N;0.14;V;0.14;V;;N;0.28;V;;N;0.14;V;;N;;N;0.28;V;0.56;V;;N;;N;0.28;V;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;;N
12;99;1;17;12099001_17_M;2014;1;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;0.28;V;;N;0.14;V;;N;0.28;V;;N;0.28;V;;N;0.14;V;;N;0.14;V;0.0;V;;N;0.14;V;;N;;N;;N;0.0;V;;N;;N;0.0;V;;N;0.0;V
12;99;1;17;12099001_17_M;2014;2;;N;;N;0.14;V;;N;0.0;V;;N;0.0;V;;N;0.0;V;;N;;N;0.14;V;;N;0.14;V;;N;0.0;V;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;0.0;N;0.0;N;0.0;N
12;99;1;17;12099001_17_M;2014;3;0.14;V;;N;0.0;V;;N;;N;0.14;V;;N;;N;0.28;V;;N;;N;0.56;V;;N;;N;;N;0.41;V;0.27;V;0.41;V;;N;0.28;V;;N;0.27;V;;N;0.14;V;;N;;N;0.14;V;;N;0.27;V;;N;0.41;V
12;99;1;17;12099001_17_M;2014;4;;N;;N;0.14;V;;N;0.14;V;;N;0.28;V;;N;;N;0.28;V;0.27;V;0.27;V;;N;0.41;V;;N;0.27;V;;N;;N;0.27;V;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;0.0;N
12;99;1;17;12099001_17_M;2014;5;0.14;V;;N;0.14;V;;N;0.14;V;;N;;N;0.2;V;0.2;V;;N;0.06;V;;N;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;;N;;N;;N;;N;;N;0.14;V;;N;0.14;V
12;99;1;17;12099001_17_M;2014;6;;N;0.14;V;;N;;N;0.14;V;0.14;V;;N;;N;0.28;V;;N;0.28;V;;N;;N;0.41;V;;N;0.14;V;;N;;N;0.28;V;;N;0.14;V;;N;;N;0.14;V;;N;0.28;V;;N;0.14;V;;N;;N;0.0;N
12;99;1;17;12099001_17_M;2014;7;;N;;N;0.14;V;0.14;V;;N;;N;0.14;V;;N;0.28;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.28;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.14;V
12;99;1;17;12099001_17_M;2014;8;0.14;V;;N;0.28;V;0.28;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.41;V;0.14;V;;N;0.0;V
12;99;1;17;12099001_17_M;2014;9;0.14;V;;N;0.14;V;;N;;N;0.27;V;;N;;N;;N;;N;0.27;V;;N;0.14;V;;N;;N;0.27;V;;N;0.27;V;;N;0.14;V;;N;0.14;V;;N;;N;0.28;V;0.14;V;;N;0.14;V;0.28;V;;N;0.0;N
12;99;1;17;12099001_17_M;2014;10;;N;0.28;V;;N;0.55;V;;N;0.42;V;;N;;N;0.41;V;;N;0.41;V;;N;;N;0.14;V;;N;0.14;V;;N;0.28;V;;N;0.56;V;;N;;N;0.14;V;0.28;V;;N;0.42;V;0.28;V;;N;0.56;V;;N;;N
12;99;1;17;12099001_17_M;2014;11;0.28;V;;N;0.14;V;;N;;N;0.0;V;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
12;99;1;17;12099001_17_M;2014;12;;N;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.0;V;;N;0.0;V;;N;0.14;V;;N;0.0;V;;N;;N;0.14;V;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;;N
46;242;1;17;46242001_17_M;2014;1;;N;0.0;V;0.0;V;;N;0.14;V;0.14;V;;N;0.14;V;0.14;V;;N;0.27;V;;N;0.14;V;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;242;1;17;46242001_17_M;2014;2;;N;;N;;N;0.0;V;;N;0.14;V;0.0;V;;N;;N;;N;;N;;N;;N;;N;0.13;V;;N;;N;;N;;N;;N;0.14;V;0.14;V;;N;0.14;V;0.14;V;;N;0.14;V;;N;0.0;N;0.0;N;0.0;N
46;242;1;17;46242001_17_M;2014;3;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;242;1;17;46242001_17_M;2014;4;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
46;242;1;17;46242001_17_M;2014;5;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.14;V;0.14;V;;N;0.14;V;;N;;N;;N;;N;;N;;N
46;242;1;17;46242001_17_M;2014;6;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
46;242;1;17;46242001_17_M;2014;7;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.14;V;;N;0.28;V;0.14;V;;N;0.28;V;0.28;V;;N;0.14;V;0.14;V
46;242;1;17;46242001_17_M;2014;8;;N;0.28;V;0.14;V;;N;0.28;V;0.28;V;;N;0.14;V;;N;;N;0.0;V;0.28;V;;N;0.14;V;0.14;V;;N;0.29;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;242;1;17;46242001_17_M;2014;9;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
